年份,物种名,样线编码,调查次序,省份,长度,宽度,起点经度,起点纬度,物种数量
2018,白鹡鸰,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,棕头鸦雀,1300121001,2,河北,100,100,113.81472,38.68389,4
2018,大山雀,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,红尾水鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,大山雀,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,红嘴蓝鹊,1300121001,2,河北,100,100,113.81472,38.68389,5
2018,大山雀,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,灰眉岩鹀,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,北红尾鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,红尾水鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,三道眉草鹀,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,金眶鸻,1300121005,1,河北,100,100,114.22889,38.27194,5
2018,环颈鸻,1300121005,1,河北,100,100,114.22889,38.27194,6
2018,山斑鸠,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,喜鹊,1300121005,1,河北,100,100,114.22889,38.27194,20
2018,家燕,1300121005,1,河北,100,100,114.22889,38.27194,10
2018,麻雀,1300121005,1,河北,100,100,114.22889,38.27194,30
2018,棕头鸦雀,1300121001,2,河北,100,100,113.81472,38.68389,8
2018,灰鹡鸰,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,灰鹡鸰,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,北红尾鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,棕头鸦雀,1300121001,2,河北,100,100,113.81472,38.68389,10
2018,大斑啄木鸟,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,大山雀,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,北红尾鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,山麻雀,1300121001,2,河北,100,100,113.81472,38.68389,5
2018,白鹭,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,夜鹭,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,池鹭,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,麻雀,1300121005,1,河北,100,100,114.22889,38.27194,10
2018,喜鹊,1300121005,1,河北,100,100,114.22889,38.27194,3
2018,家燕,1300121005,1,河北,100,100,114.22889,38.27194,8
2018,四声杜鹃,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,白鹭,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,山斑鸠,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,小䴙䴘,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,夜鹭,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,家燕,1300121005,1,河北,100,100,114.22889,38.27194,10
2018,山斑鸠,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,白头鹎,1300121005,1,河北,100,100,114.22889,38.27194,2
2018,喜鹊,1300121005,1,河北,100,100,114.22889,38.27194,5
2018,麻雀,1300121005,1,河北,100,100,114.22889,38.27194,18
2018,黑卷尾,1300121005,1,河北,100,100,114.22889,38.27194,2
2018,白头鹎,1300121005,1,河北,100,100,114.22889,38.27194,15
2018,池鹭,1300121005,1,河北,100,100,114.22889,38.27194,14
2018,白鹭,1300121005,1,河北,100,100,114.22889,38.27194,8
2018,喜鹊,1300121005,1,河北,100,100,114.22889,38.27194,3
2018,红隼,1300121005,1,河北,100,100,114.22889,38.27194,1
2018,喜鹊,1300121005,1,河北,100,100,114.22889,38.27194,15
2018,山斑鸠,1300121005,1,河北,100,100,114.22889,38.27194,2
2018,大杜鹃,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,白头鹎,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,黑卷尾,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,麻雀,1300121007,1,河北,100,100,114.16945,38.24606,10
2018,家燕,1300121007,1,河北,100,100,114.16945,38.24606,15
2018,戴胜,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,池鹭,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,小䴙䴘,1300121007,1,河北,100,100,114.16945,38.24606,5
2018,池鹭,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,斑嘴鸭,1300121007,1,河北,100,100,114.16945,38.24606,3
2018,灰椋鸟,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,珠颈斑鸠,1300121007,1,河北,100,100,114.16945,38.24606,4
2018,灰喜鹊,1300121007,1,河北,100,100,114.16945,38.24606,10
2018,四声杜鹃,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,白头鹎,1300121007,1,河北,100,100,114.16945,38.24606,4
2018,珠颈斑鸠,1300121007,1,河北,100,100,114.16945,38.24606,5
2018,家燕,1300121007,1,河北,100,100,114.16945,38.24606,7
2018,黑卷尾,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,大斑啄木鸟,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,白鹭,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,池鹭,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,白腰草鹬,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,环颈鸻,1300121007,1,河北,100,100,114.16945,38.24606,20
2018,环颈雉,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,普通翠鸟,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,喜鹊,1300121007,1,河北,100,100,114.16945,38.24606,15
2018,棕头鸦雀,1300121007,1,河北,100,100,114.16945,38.24606,20
2018,白鹡鸰,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,金翅雀,1300121007,1,河北,100,100,114.16945,38.24606,9
2018,灰头绿啄木鸟,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,鹪鹩,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,大斑啄木鸟,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,松鸦,1300121002,1,河北,100,100,113.8025,38.73667,3
2018,小䴙䴘,1300121007,1,河北,100,100,114.16945,38.24606,5
2018,白鹡鸰,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,大杜鹃,1300121007,1,河北,100,100,114.16945,38.24606,1
2018,棕头鸦雀,1300121007,1,河北,100,100,114.16945,38.24606,20
2018,金翅雀,1300121007,1,河北,100,100,114.16945,38.24606,2
2018,褐柳莺,1300121002,1,河北,100,100,113.8025,38.73667,3
2018,云南柳莺,1300121002,1,河北,100,100,113.8025,38.73667,3
2018,鹪鹩,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,乌鸫,1300121002,1,河北,100,100,113.8025,38.73667,2
2018,大山雀,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,黄腹山雀,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,云南柳莺,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,松鸦,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,极北柳莺,1300121002,1,河北,100,100,113.8025,38.73667,2
2018,大山雀,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,云南柳莺,1300121002,1,河北,100,100,113.8025,38.73667,2
2018,褐柳莺,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,鹪鹩,1300121002,1,河北,100,100,113.8025,38.73667,2
2018,云南柳莺,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,褐柳莺,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,鹪鹩,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,黄眉柳莺,1300121002,1,河北,100,100,113.8025,38.73667,2
2018,环颈雉,1300121002,1,河北,100,100,113.8025,38.73667,2
2018,褐头山雀,1300121002,1,河北,100,100,113.8025,38.73667,1
2018,喜鹊,1300121008,1,河北,100,100,113.77448,38.62927,4
2018,大嘴乌鸦,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,岩鸽,1300121008,1,河北,100,100,113.77448,38.62927,4
2018,苍鹭,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,普通翠鸟,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,环颈雉,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,大山雀,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,戴胜,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,灰鹡鸰,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,北红尾鸲,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,红嘴蓝鹊,1300121008,1,河北,100,100,113.77448,38.62927,3
2018,大斑啄木鸟,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,山麻雀,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,戴胜,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,北红尾鸲,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,震旦鸦雀,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,普通翠鸟,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,戴胜,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,喜鹊,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,岩鸽,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,喜鹊,1300121008,1,河北,100,100,113.77448,38.62927,6
2018,北红尾鸲,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,珠颈斑鸠,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,北红尾鸲,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,环颈雉,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,金翅雀,1300121008,1,河北,100,100,113.77448,38.62927,6
2018,大山雀,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,大山雀,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,金翅雀,1300121008,1,河北,100,100,113.77448,38.62927,5
2018,戴胜,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,灰头绿啄木鸟,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,苍鹭,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,喜鹊,1300121008,1,河北,100,100,113.77448,38.62927,2
2018,灰头绿啄木鸟,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,环颈雉,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,红隼,1300121008,1,河北,100,100,113.77448,38.62927,1
2018,白鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,4
2018,普通翠鸟,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,北红尾鸲,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,3
2018,灰鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,鸳鸯,1300121006,2,河北,100,100,113.75666,38.56186,4
2018,珠颈斑鸠,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,麻雀,1300121006,2,河北,100,100,113.75666,38.56186,8
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,棕头鸦雀,1300121006,2,河北,100,100,113.75666,38.56186,13
2018,红嘴蓝鹊,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,三道眉草鹀,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,4
2018,环颈雉,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,灰头绿啄木鸟,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,棕头鸦雀,1300121006,2,河北,100,100,113.75666,38.56186,10
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,4
2018,棕头鸦雀,1300121006,2,河北,100,100,113.75666,38.56186,6
2018,黑卷尾,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,银喉长尾山雀,1300121006,2,河北,100,100,113.75666,38.56186,30
2018,褐河乌,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,三道眉草鹀,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,大斑啄木鸟,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,大斑啄木鸟,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,3
2018,白鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,灰鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,红尾水鸲,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,褐河乌,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,3
2018,红嘴蓝鹊,1300121006,2,河北,100,100,113.75666,38.56186,4
2018,白鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,喜鹊,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,北红尾鸲,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,红嘴蓝鹊,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,红嘴蓝鹊,1300121006,2,河北,100,100,113.75666,38.56186,4
2018,灰鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,红尾水鸲,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,灰鹡鸰,1300121006,2,河北,100,100,113.75666,38.56186,2
2018,大斑啄木鸟,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,普通翠鸟,1300121006,2,河北,100,100,113.75666,38.56186,1
2018,星鸦,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,黄腹山雀,1300121002,2,河北,100,100,113.8025,38.73667,8
2018,云南柳莺,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,红尾水鸲,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,褐河乌,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,紫啸鸫,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,松鸦,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,云南柳莺,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,鹪鹩,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,大斑啄木鸟,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,大山雀,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,冠纹柳莺,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,黄腹山雀,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,冠纹柳莺,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,紫啸鸫,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,黄腹山雀,1300121002,2,河北,100,100,113.8025,38.73667,8
2018,冠纹柳莺,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,银喉长尾山雀,1300121002,2,河北,100,100,113.8025,38.73667,6
2018,星鸦,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,银喉长尾山雀,1300121002,2,河北,100,100,113.8025,38.73667,12
2018,云南柳莺,1300121002,2,河北,100,100,113.8025,38.73667,4
2018,黄腹山雀,1300121002,2,河北,100,100,113.8025,38.73667,8
2018,星鸦,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,云南柳莺,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,褐头山雀,1300121002,2,河北,100,100,113.8025,38.73667,3
2018,星鸦,1300121002,2,河北,100,100,113.8025,38.73667,2
2018,褐头山雀,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,喜鹊,1300121002,2,河北,100,100,113.8025,38.73667,1
2018,星鸦,1300121010,2,河北,100,100,113.82812,38.75022,1
2018,云南柳莺,1300121010,2,河北,100,100,113.82812,38.75022,3
2018,远东树莺,1300121010,2,河北,100,100,113.82812,38.75022,1
2018,普通朱雀,1300121010,2,河北,100,100,113.82812,38.75022,3
2018,普通朱雀,1300121010,2,河北,100,100,113.82812,38.75022,2
2018,云南柳莺,1300121010,2,河北,100,100,113.82812,38.75022,2
2018,褐柳莺,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,环颈雉,1300121003,2,河北,100,100,113.82556,38.74806,1
2018,星鸦,1300121003,2,河北,100,100,113.82556,38.74806,1
2018,普通朱雀,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,远东树莺,1300121009,1,河北,100,100,113.84259,38.67867,2
2018,棕背伯劳,1300121009,1,河北,100,100,113.84259,38.67867,2
2018,北红尾鸲,1300121009,1,河北,100,100,113.84259,38.67867,7
2018,三道眉草鹀,1300121009,1,河北,100,100,113.84259,38.67867,4
2018,环颈雉,1300121009,1,河北,100,100,113.84259,38.67867,1
2018,灰鹡鸰,1300121009,1,河北,100,100,113.84259,38.67867,3
2018,白鹡鸰,1300121009,1,河北,100,100,113.84259,38.67867,2
2018,三道眉草鹀,1300121009,1,河北,100,100,113.84259,38.67867,5
2018,银喉长尾山雀,1300121009,1,河北,100,100,113.84259,38.67867,28
2018,喜鹊,1300121009,1,河北,100,100,113.84259,38.67867,1
2018,北红尾鸲,1300121009,1,河北,100,100,113.84259,38.67867,3
2018,云南柳莺,1300121009,1,河北,100,100,113.84259,38.67867,1
2018,大山雀,1300121009,1,河北,100,100,113.84259,38.67867,2
2018,云南柳莺,1300121003,2,河北,100,100,113.82556,38.74806,3
2018,冠纹柳莺,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,云南柳莺,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,冠纹柳莺,1300121003,2,河北,100,100,113.82556,38.74806,4
2018,云南柳莺,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,大山雀,1300121003,2,河北,100,100,113.82556,38.74806,3
2018,黄腹山雀,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,褐头山雀,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,大山雀,1300121003,2,河北,100,100,113.82556,38.74806,7
2018,银喉长尾山雀,1300121003,2,河北,100,100,113.82556,38.74806,13
2018,黄腹山雀,1300121003,2,河北,100,100,113.82556,38.74806,15
2018,大山雀,1300121003,2,河北,100,100,113.82556,38.74806,10
2018,环颈雉,1300121003,2,河北,100,100,113.82556,38.74806,1
2018,云南柳莺,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,黄腹山雀,1300121003,2,河北,100,100,113.82556,38.74806,5
2018,冠纹柳莺,1300121003,2,河北,100,100,113.82556,38.74806,2
2018,云南柳莺,1300121003,2,河北,100,100,113.82556,38.74806,3
2018,鹪鹩,1300121003,2,河北,100,100,113.82556,38.74806,1
2018,星鸦,1300121003,2,河北,100,100,113.82556,38.74806,1
2018,冠纹柳莺,1300121009,1,河北,100,100,113.84259,38.67867,1
2018,环颈雉,1300121009,1,河北,100,100,113.84259,38.67867,2
2018,噪鹃,1300121009,1,河北,100,100,113.84259,38.67867,2
2018,普通鵟,1300121009,1,河北,100,100,113.84259,38.67867,1
2018,喜鹊,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,珠颈斑鸠,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,灰椋鸟,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,北红尾鸲,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,麻雀,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,岩鸽,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,喜鹊,1300121001,1,河北,100,100,113.81472,38.68389,5
2018,红嘴蓝鹊,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,山麻雀,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,白鹡鸰,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,环颈雉,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,大斑啄木鸟,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,山麻雀,1300121001,1,河北,100,100,113.81472,38.68389,9
2018,灰鹡鸰,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,大山雀,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,北红尾鸲,1300121001,1,河北,100,100,113.81472,38.68389,3
2018,麻雀,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,大山雀,1300121001,1,河北,100,100,113.81472,38.68389,3
2018,普通翠鸟,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,棕头鸦雀,1300121001,1,河北,100,100,113.81472,38.68389,5
2018,星鸦,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,大嘴乌鸦,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,环颈雉,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,灰眉岩鹀,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,红嘴蓝鹊,1300121001,1,河北,100,100,113.81472,38.68389,3
2018,紫啸鸫,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,褐河乌,1300121001,1,河北,100,100,113.81472,38.68389,2
2018,鸳鸯,1300121001,1,河北,100,100,113.81472,38.68389,1
2018,冠纹柳莺,1300121003,1,河北,100,100,113.82556,38.74806,3
2018,云南柳莺,1300121003,1,河北,100,100,113.82556,38.74806,4
2018,淡眉柳莺,1300121003,1,河北,100,100,113.82556,38.74806,2
2018,三道眉草鹀,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,喜鹊,1300121003,1,河北,100,100,113.82556,38.74806,2
2018,褐柳莺,1300121003,1,河北,100,100,113.82556,38.74806,2
2018,环颈雉,1300121003,1,河北,100,100,113.82556,38.74806,2
2018,大山雀,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,环颈雉,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,云南柳莺,1300121003,1,河北,100,100,113.82556,38.74806,2
2018,鹪鹩,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,黄腹山雀,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,噪鹃,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,冠纹柳莺,1300121003,1,河北,100,100,113.82556,38.74806,8
2018,云南柳莺,1300121003,1,河北,100,100,113.82556,38.74806,5
2018,紫啸鸫,1300121003,1,河北,100,100,113.82556,38.74806,1
2018,黑翅长脚鹬,1300121004,2,河北,100,100,113.87056,38.32972,17
2018,普通燕鸥,1300121004,2,河北,100,100,113.87056,38.32972,10
2018,斑嘴鸭,1300121004,2,河北,100,100,113.87056,38.32972,30
2018,白鹭,1300121004,2,河北,100,100,113.87056,38.32972,5
